"id","name"
"2",Автомобильная тематика
"3",Образование
"",""
"5",Другое
"7",Прочие виды спорта
"8",Религия
"9",Экономика и бизнес
"10",Музыка
"11",Кино и сериалы
"14",Медицина
"4","Общество, новости, сми"
"12",Здоровый образ жизни
"13","Статусы, цитаты"
"15","Кулинария, рецепты"
"16","Наука, популярная наука"
"1",Автомобильная тематика
"17",Иностранные языки
"6","Реклама, маркетинг, pr"
"18","Hi-tech новости, технологии"
"19","Стиль, мода"
"20","Литература, стихи, поэзия"
"21",Политика
"22","Видеоигры, компьютерные игры"
"23",Психология и отношения
"24",Хардкор 18+
"25","Беременность, роды, материнство"
"26","Туризм, путешествия"
"27",Строительство и ремонт
"28","Блоггеры, авторский контент"
"29","Инвестиции, про инвестиции"
"30","Звезды, фан каналы"
"31",Мотивация и успех
"32",Городские сообщества
"33","Афиша, концерты, гиды"
"34",Юмор
"35",Программирование и программное обеспечение
"37",Эротика
"38",Недвижимость
"39","Поиск работы, HR"
"40",Лайфхаки
"41",Объявления и доски объявлений
"36",Хендмейд и рукоделие
"43","Легкий заработок, сливы"
